trade_month,industry,ret,n_stocks
2019-03,801160.SI,0.05227765301364218,96
2019-03,801170.SI,0.09502935060022355,113
2019-03,801180.SI,0.13617094455760848,127
2019-03,801200.SI,0.09236447171406392,99
2019-03,801210.SI,0.1278596554256788,35
2019-03,801230.SI,0.15916176589601205,43
2019-03,801710.SI,0.1284032864895106,70
2019-03,801720.SI,0.041595785267511065,125
2019-03,801730.SI,0.08496206593104216,191
2019-03,801740.SI,0.11875124112347502,53
2019-03,801750.SI,0.17518575782716206,202
2019-03,801760.SI,0.08203142730365376,150
2019-03,801770.SI,0.07738295441041676,104
2019-03,801780.SI,-0.007915665648567605,31
2019-03,801790.SI,0.06589994803052157,71
2019-03,801880.SI,0.031502902929673615,171
2019-03,801890.SI,0.1039862587624032,320
2019-03,801950.SI,0.002663633287475431,38
2019-03,801960.SI,-0.008629359807889925,43
2019-03,801970.SI,0.06831709241459638,71
2019-03,801980.SI,0.11886444974296007,15
2019-04,801010.SI,0.086841961029547,94
2019-04,801030.SI,0.0019873602559989934,293
2019-04,801040.SI,-0.04702245709968267,31
2019-04,801050.SI,-0.05231929179090056,116
2019-04,801080.SI,-0.04506564446516792,231
2019-04,801110.SI,0.07122338351014701,64
2019-04,801120.SI,0.08005242755908593,90
2019-04,801130.SI,-0.05173036102549189,83
2019-04,801140.SI,-0.04368874572187109,122
2019-04,801150.SI,-0.002965909345443607,292
2019-04,801160.SI,-0.008443643656776967,96
2019-04,801170.SI,0.02478084259129365,113
2019-04,801180.SI,-0.027893630963683358,127
2019-04,801200.SI,0.00029700583317127105,99
2019-04,801210.SI,0.011797300730404192,35
2019-04,801230.SI,-0.03623813507371998,43
2019-04,801710.SI,-0.011013931056024773,70
2019-04,801720.SI,-0.035275284977584254,125
2019-04,801730.SI,-0.02647786268914276,191
2019-04,801740.SI,-0.05278403550712174,53
2019-04,801750.SI,-0.05748971252533375,205
2019-04,801760.SI,-0.06186025149372898,152
2019-04,801770.SI,-0.011793774488954911,104
2019-04,801780.SI,0.033507936691276274,32
2019-04,801790.SI,0.010648769796801849,71
2019-04,801880.SI,0.04689576222532099,171
2019-04,801890.SI,-0.035470500229610624,321
2019-04,801950.SI,0.029450275969832962,38
2019-04,801960.SI,-0.008932823920858701,43
2019-04,801970.SI,-0.03710554420870349,71
2019-04,801980.SI,-0.04387460808750954,15
2019-05,801010.SI,0.022685616471248338,93
2019-05,801030.SI,-0.07896434592361246,293
2019-05,801040.SI,-0.049524162047695275,31
2019-05,801050.SI,0.03590215125885288,116
2019-05,801080.SI,-0.06999283643063736,233
2019-05,801110.SI,-0.04206712876802854,62
2019-05,801120.SI,-0.03420845263757166,90
2019-05,801130.SI,-0.04628454170125251,83
2019-05,801140.SI,-0.05662005342718679,121
2019-05,801150.SI,-0.06938209531454864,293
2019-05,801160.SI,-0.012254349529320807,95
2019-05,801170.SI,-0.06749848122003088,114
2019-05,801180.SI,-0.06420151308185906,127
2019-05,801200.SI,-0.07324030688422578,99
2019-05,801210.SI,-0.04482598278010419,35
2019-05,801230.SI,-0.04842031415432002,43
2019-05,801710.SI,-0.02685485171950386,70
2019-05,801720.SI,-0.08635536905532948,125
2019-05,801730.SI,-0.04980548659331652,193
2019-05,801740.SI,-0.019831098077422893,54
2019-05,801750.SI,-0.04459241453943619,206
2019-05,801760.SI,-0.0787493450797292,151
2019-05,801770.SI,-0.08177909739118716,104
2019-05,801780.SI,-0.03975774376263297,32
2019-05,801790.SI,-0.09083031939150088,71
2019-05,801880.SI,-0.09660320787360843,172
2019-05,801890.SI,-0.04929613859141757,322
2019-05,801950.SI,-0.06641545706179142,38
2019-05,801960.SI,-0.043262769842655424,43
2019-05,801970.SI,-0.0737155883336672,72
2019-05,801980.SI,-0.03915212009472313,15
2019-06,801010.SI,-0.06531014657190659,91
2019-06,801030.SI,0.0025056389752420305,295
2019-06,801040.SI,2.2059758927328588e-05,31
2019-06,801050.SI,0.03571296481053987,116
2019-06,801080.SI,0.04308562598085475,234
2019-06,801110.SI,0.043256793969235874,61
2019-06,801120.SI,0.11371334269772193,91
2019-06,801130.SI,0.002757896638074575,83
2019-06,801140.SI,0.005910476284994415,122
2019-06,801150.SI,0.030335232275920276,293
2019-06,801160.SI,0.011751524515414058,95
2019-06,801170.SI,0.028755904916561104,114
2019-06,801180.SI,0.02164247270596764,127
2019-06,801200.SI,0.03268022613516042,98
2019-06,801210.SI,0.09675123344721692,35
2019-06,801230.SI,0.00755735550858283,43
2019-06,801710.SI,0.0559640959263894,70
2019-06,801720.SI,0.0321060719782047,125
2019-06,801730.SI,-0.0035275048161784728,193
2019-06,801740.SI,0.013012394696206186,54
2019-06,801750.SI,0.03383195248974391,206
2019-06,801760.SI,0.010336688776408698,152
2019-06,801770.SI,0.050588764524442054,104
2019-06,801780.SI,0.04407119178024055,32
2019-06,801790.SI,0.09549418011761612,71
2019-06,801880.SI,0.022501230886525114,171
2019-06,801890.SI,0.031025293852788405,325
2019-06,801950.SI,0.05495857024411288,38
2019-06,801960.SI,0.0029696543705233225,43
2019-06,801970.SI,0.09121198744473902,72
2019-06,801980.SI,0.05773683783735506,15
2019-07,801010.SI,0.08008770087391914,91
2019-07,801030.SI,0.021239519038215526,306
2019-07,801040.SI,-0.0418505557958917,31
2019-07,801050.SI,-0.04826979836319856,118
2019-07,801080.SI,0.08787966342932063,243
2019-07,801110.SI,0.00796294086656335,61
2019-07,801120.SI,-0.02000704444671364,93
2019-07,801130.SI,-0.02696750648479207,84
2019-07,801140.SI,-0.024979678943805816,124
2019-07,801150.SI,0.0066233837615978786,302
2019-07,801160.SI,0.030586560861452394,101
2019-07,801170.SI,-0.0021328766762104268,116
2019-07,801180.SI,-0.004777690094316611,132
2019-07,801200.SI,-0.03486262750912761,104
2019-07,801210.SI,0.017398795577806325,36
2019-07,801230.SI,-0.031446817552941875,43
2019-07,801710.SI,-0.03428027709012671,72
2019-07,801720.SI,-0.010794826967426507,129
2019-07,801730.SI,0.01614719716143531,198
2019-07,801740.SI,0.05932298011195347,66
2019-07,801750.SI,-0.0033674171209757686,214
2019-07,801760.SI,-0.018019791870828916,166
2019-07,801770.SI,-0.0301072158709651,109
2019-07,801780.SI,0.012371487281866989,32
2019-07,801790.SI,0.0021595546278054822,77
2019-07,801880.SI,0.007160836857160957,176
2019-07,801890.SI,0.00616014370424689,331
2019-07,801950.SI,-0.0007127910522585212,38
2019-07,801960.SI,-0.044182813942337584,44
2019-07,801970.SI,-0.05664260400300458,72
2019-07,801980.SI,0.010294155876726885,15
2019-08,801010.SI,0.020742509069856085,85
