date,mom_12_1,rev_10,rvol_20,vol_confirm,inv_pb,log_cap,pe_ttm,roe_ttm,turnover_20,mom_3_1,mom_6_1,ret_5d_std,volume_chg,high_low_20,close_to_high_60,dv_ttm,roa_ttm,gross_margin,low_leverage,growth_revenue,growth_profit,illiq_20
2019-10-31,-0.00756962,-0.00690187,-0.00450168,-0.00626980,-0.00674871,-0.01114210,-0.00340544,-0.01019389,-0.00362282,-0.00678421,-0.00761938,-0.00488166,-0.00780958,-0.00444301,-0.00928089,-0.00784938,-0.00807013,-0.00684518,-0.00523059,-0.00890702,-0.00824439,-0.00259655
2019-11-29,0.00212102,0.00164330,0.00133014,0.00166815,0.00182100,0.00294787,0.00078033,0.00261709,0.00110491,0.00204453,0.00216594,0.00192395,0.00222690,0.00117916,0.00241411,0.00218538,0.00209136,0.00175408,0.00132223,0.00225540,0.00211880,0.00054448
2019-12-31,0.04023316,0.03600097,0.01919734,0.03385857,0.02832349,0.05554167,0.01473973,0.05014081,0.01266818,0.03748653,0.03854964,0.02545237,0.02042188,0.02098302,0.04568434,0.04309987,0.03985330,0.03354947,0.02463601,0.03695015,0.03453373,0.00677149
2020-01-23,-0.02639784,-0.02076817,-0.01425148,-0.01435388,-0.02327113,-0.04213338,-0.01033530,-0.03802951,-0.00789721,-0.02668507,-0.02578422,-0.01644974,-0.01463413,-0.01436712,-0.02596249,-0.03388711,-0.03008697,-0.02467509,-0.01845410,-0.02772663,-0.02575688,-0.00547010
2020-02-28,-0.02978490,-0.01637194,-0.00810115,-0.02260996,-0.02062530,-0.04194163,-0.01295732,-0.03845402,-0.00796400,-0.01668464,-0.02566182,-0.01127249,-0.02022585,-0.00837660,-0.02851562,-0.03122469,-0.03070070,-0.02522405,-0.01995328,-0.02790205,-0.02526895,-0.00514200
2020-03-31,-0.02885718,-0.02702053,-0.01642944,-0.01685120,-0.02012530,-0.04217156,-0.01270136,-0.03847680,-0.00793051,-0.01755836,-0.02206602,-0.01889986,-0.02600975,-0.01921781,-0.02583076,-0.03093048,-0.03092851,-0.02540235,-0.01975250,-0.02850934,-0.02496955,-0.00614860
2020-04-30,0.02565219,0.02592644,0.01314712,0.02112247,0.02123689,0.03810759,0.01254180,0.03653525,0.01036915,0.01824562,0.02112387,0.01205644,0.02283147,0.01339011,0.03091452,0.02542771,0.03375196,0.02426603,0.01867163,0.02945559,0.02759093,0.00752246
2020-05-29,-0.02148796,-0.01505561,-0.01170116,-0.01069663,-0.01664417,-0.02962810,-0.00900907,-0.02588872,-0.00816518,-0.01955297,-0.01753264,-0.01238660,-0.01750734,-0.01294833,-0.02074588,-0.01962948,-0.02147485,-0.01735299,-0.01378909,-0.02125640,-0.02093512,-0.00535400
2020-06-30,0.00698025,0.00524720,0.00494171,0.00385712,0.00510940,0.00996344,0.00328508,0.00915703,0.00269301,0.00624151,0.00616360,0.00542051,0.00612059,0.00481219,0.00672264,0.00696513,0.00774766,0.00614208,0.00492807,0.00702508,0.00718482,0.00194972
2020-07-31,0.04353534,0.03129552,0.02677766,0.02592330,0.03613376,0.06941845,0.02342079,0.06011152,0.01207313,0.03427421,0.03850106,0.02532361,0.03716210,0.03110778,0.03878157,0.04770995,0.05015046,0.04199869,0.03509724,0.04801423,0.04757132,0.01021047
2020-08-31,0.01425025,0.01475219,0.00807499,0.01403748,0.00916810,0.02139761,0.00839907,0.01896998,0.00409287,0.01063608,0.01336145,0.00939373,0.00932481,0.00814605,0.01540268,0.01439876,0.01592044,0.01347796,0.01090141,0.01509538,0.01383381,0.00376895
2020-09-30,-0.02594624,-0.02420220,-0.01710830,-0.01956710,-0.01590074,-0.03783635,-0.01389254,-0.03527669,-0.01078135,-0.02230623,-0.02333179,-0.01520396,-0.02650807,-0.01653414,-0.03030893,-0.02590862,-0.02926196,-0.02323691,-0.01806285,-0.02777705,-0.02528714,-0.00588008
2020-10-30,-0.00328671,-0.00241870,-0.00256521,-0.00177804,-0.00158713,-0.00384308,-0.00177588,-0.00355551,-0.00180088,-0.00293516,-0.00286153,-0.00249480,-0.00295165,-0.00254342,-0.00280133,-0.00246523,-0.00304418,-0.00247434,-0.00208403,-0.00298292,-0.00276742,-0.00070514
2020-11-30,0.01758945,0.01030647,0.01323486,0.00867852,0.00815160,0.02010150,0.00938677,0.01942823,0.00874818,0.01463806,0.01712025,0.01312814,0.01165541,0.01413083,0.01139201,0.01298018,0.01645130,0.01337165,0.01079462,0.01650410,0.01470102,0.00413931
2020-12-31,0.01352357,0.01054860,0.00765998,0.00928267,0.00605408,0.01554117,0.00768815,0.01509224,0.00605422,0.01000502,0.01228041,0.00721685,0.00753403,0.00807958,0.01154505,0.00920897,0.01266260,0.01016689,0.00800658,0.01281849,0.01123522,0.00298831
2021-01-29,0.01081500,0.00832453,0.00766422,0.00822741,0.00397804,0.01272841,0.00756105,0.01242361,0.00596216,0.00905941,0.01059559,0.00760714,0.00939850,0.00661899,0.01062190,0.00624828,0.01065010,0.00889772,0.00707140,0.01051993,0.00938800,0.00255615
