date,port_ret,n_stocks,bench_ret_000001.SH,excess_000001.SH,bench_ret_000300.SH,excess_000300.SH,bench_ret_000905.SZ,excess_000905.SZ
2020-01-13,0.01169766,10,0.02485036,-0.01315270,0.02997695,-0.01827928,0.01752022,-0.00582255
2020-01-23,-0.02035114,8,-0.04462796,0.02427682,-0.04759457,0.02724343,-0.08476821,0.06441707
2020-02-10,-0.00026237,8,-0.02890626,0.02864390,-0.02195261,0.02169025,-0.07670043,0.07643807
2020-02-24,0.01255486,11,0.04869265,-0.03613779,0.05537112,-0.04281626,0.04388715,-0.03133229
2020-03-09,-0.00505150,10,-0.02901215,0.02396066,-0.03283610,0.02778460,0.01351351,-0.01856501
2020-03-23,-0.03995290,9,-0.09619277,0.05623987,-0.11679040,0.07683750,-0.10962963,0.06967673
2020-04-03,0.02599408,3,0.03902762,-0.01303354,0.05181208,-0.02581800,-0.00166389,0.02765797
2020-04-20,0.00883187,3,0.03204262,-0.02321075,0.03776692,-0.02893505,0.01000000,-0.00116813
2020-04-30,-0.00014689,5,0.00263953,-0.00278643,0.01534262,-0.01548952,-0.02310231,0.02295542
2020-05-18,0.00783532,4,0.00536187,0.00247344,0.00264135,0.00519396,-0.01013514,0.01797045
2020-06-01,0.00902892,3,0.01391572,-0.00488680,0.01234504,-0.00331612,0.13651877,-0.12748986
2020-06-15,0.00024018,3,-0.00871243,0.00895262,-0.00411748,0.00435766,-0.03303303,0.03327322
2020-06-29,0.00293307,5,0.02473531,-0.02180224,0.03912226,-0.03618919,-0.02795031,0.03088338
2020-07-13,0.02203394,6,0.16267676,-0.14064283,0.18085063,-0.15881669,0.42012780,-0.39809386
2020-07-27,-0.00692413,5,-0.06913729,0.06221317,-0.06686870,0.05994457,-0.20697413,0.20005000
2020-08-10,0.00143260,6,0.05429432,-0.05286172,0.04337460,-0.04194200,0.04822695,-0.04679435
2020-08-24,0.00770659,7,0.00188974,0.00581685,0.00655667,0.00114992,-0.00541272,0.01311931
2020-09-07,-0.00684155,6,-0.02748303,0.02064148,-0.01818422,0.01134267,-0.04353741,0.03669586
2020-09-21,-0.00263256,6,0.00739369,-0.01002625,0.00472449,-0.00735705,0.00000000,-0.00263256
2020-09-30,0.00428712,8,-0.02981156,0.03409868,-0.02217508,0.02646221,-0.05689900,0.06118613
2020-10-19,0.00394330,6,0.02940133,-0.02545803,0.03664227,-0.03269898,0.02413273,-0.02018943
2020-11-02,-0.00680035,3,-0.02642810,0.01962775,-0.00728771,0.00048736,-0.04712813,0.04032778
2020-11-16,0.00064430,4,0.03778142,-0.03713712,0.03883644,-0.03819214,0.08037094,-0.07972664
2020-11-30,-0.00269605,6,0.01338103,-0.01607708,0.01143522,-0.01413127,0.03719599,-0.03989204
2020-12-14,0.02437378,9,-0.00667354,0.03104731,-0.00512407,0.02949785,-0.04275862,0.06713240
2020-12-28,0.00600034,3,0.00835984,-0.00235950,0.02625812,-0.02025778,-0.02161383,0.02761417
2021-01-11,0.00687767,3,0.03950578,-0.03262811,0.07439035,-0.06751269,-0.01914580,0.02602347
2021-01-25,0.00192242,6,0.02626090,-0.02433847,0.03395691,-0.03203448,-0.00600601,0.00792843
2021-02-08,-0.00604567,3,-0.02532709,0.01928142,-0.01090690,0.00486123,-0.04833837,0.04229270
2021-02-22,0.01795360,5,0.03113938,-0.01318578,0.00588921,0.01206438,0.06666667,-0.04871307
2021-03-08,-0.00297088,6,-0.06068199,0.05771111,-0.09242047,0.08944958,0.00595238,-0.00892326
2021-03-22,-0.00130231,6,0.00643743,-0.00773974,-0.00450246,0.00320014,0.06804734,-0.06934965
2021-04-02,0.00663755,10,0.01189311,-0.00525556,0.02064500,-0.01400745,-0.02077562,0.02741317
2021-04-19,0.00437639,10,-0.00196416,0.00634055,-0.01444146,0.01881785,0.00282885,0.00154754
2021-04-30,-0.00393443,10,-0.00882579,0.00489135,0.00716972,-0.01110415,-0.04654443,0.04261000
2021-05-17,0.00784886,10,0.02052868,-0.01267981,0.01200282,-0.00415395,0.02514793,-0.01729906
2021-05-31,0.00401097,11,0.02782041,-0.02380943,0.02827092,-0.02425995,-0.02020202,0.02421299
2021-06-11,0.00704420,9,-0.00711640,0.01416060,-0.02004412,0.02708831,-0.01325479,0.02029898
2021-06-28,-0.00053234,10,0.00463099,-0.00516334,0.00517874,-0.00571109,0.00298507,-0.00351742
2021-07-12,-0.00022189,10,-0.01623127,0.01600938,-0.02266889,0.02244700,-0.02380952,0.02358763
2021-07-26,-0.00630192,10,-0.02266038,0.01635845,-0.04040942,0.03410750,-0.01981707,0.01351515
2021-08-09,0.00595073,10,0.00784264,-0.00189191,0.01223554,-0.00628481,-0.00466563,0.01061636
2021-08-23,0.00303553,12,-0.00500845,0.00804397,-0.03002359,0.03305912,0.02187500,-0.01883947
2021-09-06,0.00988687,8,0.04162258,-0.03173571,0.02023376,-0.01034689,0.04740061,-0.03751375
2021-09-17,0.00487765,7,-0.00217927,0.00705692,-0.01576618,0.02064383,0.01021898,-0.00534133
2021-09-30,-0.00909008,9,-0.01267292,0.00358284,0.00215044,-0.01124052,-0.04335260,0.03426252
2021-10-18,0.02217583,9,-0.00000810,0.02218393,0.00172463,0.02045120,-0.00906344,0.03123927
2021-11-01,-0.00646568,6,-0.00663046,0.00016478,0.00326370,-0.00972938,-0.03048780,0.02402213
2021-11-15,0.00757158,6,-0.00315333,0.01072491,-0.00169862,0.00927020,0.10534591,-0.09777433
2021-11-29,0.00880945,12,0.00831919,0.00049027,-0.00634009,0.01514954,0.06827881,-0.05946935
2021-12-13,0.01807915,9,0.03322910,-0.01514995,0.04789887,-0.02981973,-0.03328895,0.05136809
2021-12-27,0.00137496,9,-0.01768716,0.01906212,-0.03235314,0.03372809,0.05234160,-0.05096664
2022-01-10,0.00525677,10,-0.00621006,0.01146683,-0.01530265,0.02055942,0.01701571,-0.01175894
2022-01-24,-0.01754585,10,-0.01931636,0.00177051,-0.01183048,-0.00571537,-0.08236808,0.06482223
2022-02-07,-0.00063196,8,-0.02682216,0.02619020,-0.03188974,0.03125778,0.05049088,-0.05112284
2022-02-21,0.01342977,6,0.01779559,-0.00436582,0.00004838,0.01338138,0.02002670,-0.00659694
2022-03-07,-0.00167648,5,-0.03373537,0.03205889,-0.06075044,0.05907395,0.03010471,-0.03178119
2022-03-21,-0.00743112,2,-0.03533193,0.02790081,-0.02160267,0.01417154,-0.07750953,0.07007841
2022-04-01,-0.00263581,6,0.00892247,-0.01155827,0.00408855,-0.00672436,0.12121212,-0.12384793
2022-04-18,-0.00425347,3,-0.02656111,0.02230764,-0.02567108,0.02141761,0.01474201,-0.01899549
2022-04-29,-0.01010169,2,-0.04645923,0.03635754,-0.03603686,0.02593517,-0.16949153,0.15938983
2022-05-16,0.00372313,5,0.00875807,-0.00503494,-0.01486544,0.01858858,0.11661808,-0.11289494
2022-05-30,0.00393339,5,0.02450164,-0.02056825,0.01831907,-0.01438568,0.07963446,-0.07570108
